
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
../python3.10/sre_parse.py:944 parse  36     0.000216  0.018126  0.000504
..ombinatorial/numbers.py:1 <module>  1      0.000077  0.018052  0.018052
..s/sympy/core/function.py:124 arity  269    0.001267  0.017803  0.000066
..thon3.10/posixpath.py:338 normpath  1882   0.012176  0.017799  0.000009
..ap_external>:380 cache_from_source  1682   0.005944  0.017762  0.000011
../trace_rules.py:3651 _recompile_re  5      0.000015  0.017723  0.003545
..rch/_VF.py:27 VFModule.__getattr__  9818   0.012153  0.017670  0.000002
..on3.10/sre_parse.py:436 _parse_sub  99/36  0.000554  0.017626  0.000178
..d/sharded_tensor/api.py:1 <module>  1      0.000057  0.017433  0.017433
..python3.10/sre_parse.py:494 _parse  173..  0.006603  0.017392  0.000101
..ons/special/bsplines.py:1 <module>  1      0.000013  0.017360  0.017360
../sympy/sets/__init__.py:1 <module>  1      0.000044  0.017079  0.017079
..ackages/triton/knobs.py:1 <module>  1      0.000084  0.016949  0.016949
../grad_mode.py:80 no_grad.__enter__  2875   0.007107  0.016787  0.000006
...10/functools.py:35 update_wrapper  2346   0.009408  0.016485  0.000007
../jit/_trace.py:512 compare_outputs  2      0.000103  0.016079  0.008039
..yping.py:523 _SpecialForm.Optional  216    0.000643  0.016077  0.000074
..n3.10/inspect.py:813 getsourcefile  963    0.002630  0.015953  0.000017
..py/polys/constructor.py:1 <module>  1      0.000017  0.015952  0.015952
..ils/_sympy/functions.py:1 <module>  1      0.000088  0.015918  0.015918
../__init__.py:37 _discover_backends  1      0.000032  0.015916  0.015916
..y_shard/_fully_shard.py:1 <module>  1      0.000055  0.015836  0.015836
..lys/domains/__init__.py:1 <module>  1      0.000079  0.015716  0.015716
..bootstrap_external>:126 _path_join  5836   0.005413  0.015330  0.000003
..umberfields/__init__.py:1 <module>  1      0.000023  0.014904  0.014904
..d/fsdp/_common_utils.py:1 <module>  1      0.000064  0.014768  0.014768
..ges/sympy/core/power.py:1 <module>  1      0.000050  0.014678  0.014678
..es/expressions/slice.py:1 <module>  1      0.000007  0.014518  0.014518
..bootstrap_external>:140 _path_stat  3232   0.001637  0.014493  0.000004
../expressions/matexpr.py:1 <module>  1      0.000051  0.013912  0.013912
..n3.10/inspect.py:1696 _check_class  2725   0.004626  0.013866  0.000005
..g/_comparison.py:1317 assert_close  2      0.000033  0.013652  0.006826
..ison.py:1247 not_close_error_metas  2      0.000035  0.013619  0.006809
..inspect.py:2117 _signature_fromstr  52     0.000925  0.013585  0.000261
..ntainer.py:403 ModuleList.__iter__  3242   0.010207  0.013566  0.000004
...10/inspect.py:1712 _shadowed_dict  8175   0.010381  0.013490  0.000002
..torch/_tensor.py:1015 Tensor.split  94     0.001300  0.013383  0.000142
../_dynamo/distributed.py:1 <module>  1      0.000018  0.013130  0.013130
..bootstrap>:100 _ModuleLock.acquire  6906   0.010815  0.013080  0.000002
